time,data_no.,gyro_x,gyro_y,gyro_z,g_x_scaled,g_y_scaled,g_z_scaled,accel_x,accel_y,accel_z,a_x_scaled,a_y_scaled,a_z_scaled,rotation_x,rotation_y
2019-01-28 20:51:29.85,1,0,0,0,0.0,0.0,0.0,0,0,14892,0.0,0.0,0.9089,0.0,-0.0
2019-01-28 20:51:29.96,2,-429,284,66,-3.2748,2.1679,0.5038,-148,6700,14844,-0.009,0.4089,0.906,24.2915,0.5207
2019-01-28 20:51:30.07,3,-411,275,62,-3.1374,2.0992,0.4733,-128,6684,14836,-0.0078,0.408,0.9055,24.252,0.4507
2019-01-28 20:51:30.17,4,-424,272,60,-3.2366,2.0763,0.458,-92,6668,14592,-0.0056,0.407,0.8906,24.5582,0.3286
2019-01-28 20:51:30.28,5,-436,271,54,-3.3282,2.0687,0.4122,-228,6664,14860,-0.0139,0.4067,0.907,24.1514,0.8021
2019-01-28 20:51:30.39,6,-393,503,46,-3.0,3.8397,0.3511,-196,6720,15092,-0.012,0.4102,0.9211,24.0001,0.6797
2019-01-28 20:51:30.51,7,-433,262,56,-3.3053,2.0,0.4275,-500,6768,15084,-0.0305,0.4131,0.9207,24.1534,1.7323
2019-01-28 20:51:30.62,8,-421,243,68,-3.2137,1.855,0.5191,-56,6760,14972,-0.0034,0.4126,0.9138,24.2995,0.1953
2019-01-28 20:51:30.73,9,-410,265,66,-3.1298,2.0229,0.5038,-124,6684,14816,-0.0076,0.408,0.9043,24.281,0.4371
2019-01-28 20:51:30.84,10,-428,259,94,-3.2672,1.9771,0.7176,-220,6696,14860,-0.0134,0.4087,0.907,24.2542,0.7733
2019-01-28 20:51:30.96,11,-410,245,66,-3.1298,1.8702,0.5038,-200,6492,15088,-0.0122,0.3962,0.9209,23.2792,0.6976
2019-01-28 20:51:31.07,12,-427,3,70,-3.2595,0.0229,0.5344,-200,6724,14732,-0.0122,0.4104,0.8992,24.531,0.7076
2019-01-28 20:51:31.18,13,-430,7,66,-3.2824,0.0534,0.5038,-196,6724,15032,-0.012,0.4104,0.9175,24.0977,0.6819
2019-01-28 20:51:31.29,14,-415,270,73,-3.1679,2.0611,0.5573,-164,6488,14764,-0.01,0.396,0.9011,23.7217,0.5826
2019-01-28 20:51:31.41,15,-417,275,52,-3.1832,2.0992,0.3969,-160,6716,14716,-0.0098,0.4099,0.8982,24.5294,0.5667
2019-01-28 20:51:31.52,16,-429,509,74,-3.2748,3.8855,0.5649,-188,6780,14672,-0.0115,0.4138,0.8955,24.8001,0.6664
2019-01-28 20:51:31.63,17,-429,271,78,-3.2748,2.0687,0.5954,-476,6768,14876,-0.0291,0.4131,0.908,24.4526,1.6683
2019-01-28 20:51:31.74,18,-434,510,69,-3.313,3.8931,0.5267,-196,6868,14632,-0.012,0.4192,0.8931,25.1425,0.6947
2019-01-28 20:51:31.86,19,-416,13,64,-3.1756,0.0992,0.4885,-108,6768,14748,-0.0066,0.4131,0.9001,24.6503,0.3813
2019-01-28 20:51:31.97,20,-435,257,62,-3.3206,1.9618,0.4733,-196,6732,14604,-0.012,0.4109,0.8914,24.7463,0.6983
2019-01-28 20:51:32.08,21,-403,506,81,-3.0763,3.8626,0.6183,-152,6444,14860,-0.0093,0.3933,0.907,23.4427,0.5377
2019-01-28 20:51:32.19,22,-383,277,77,-2.9237,2.1145,0.5878,-136,6704,14744,-0.0083,0.4092,0.8999,24.4501,0.4811
2019-01-28 20:51:32.31,23,-402,252,77,-3.0687,1.9237,0.5878,-240,6728,14820,-0.0146,0.4106,0.9045,24.4143,0.8448
2019-01-28 20:51:32.42,24,-443,509,82,-3.3817,3.8855,0.626,-20,6708,14916,-0.0012,0.4094,0.9104,24.2143,0.0701
2019-01-28 20:51:32.53,25,-389,264,93,-2.9695,2.0153,0.7099,-476,6720,14600,-0.0291,0.4102,0.8911,24.7038,1.6964
2019-01-28 20:51:32.64,26,-421,273,67,-3.2137,2.084,0.5115,-200,6908,14908,-0.0122,0.4216,0.9099,24.8599,0.6974
2019-01-28 20:51:32.76,27,-408,509,80,-3.1145,3.8855,0.6107,-64,6704,14904,-0.0039,0.4092,0.9097,24.2186,0.2244
2019-01-28 20:51:32.87,28,-410,267,60,-3.1298,2.0382,0.458,-152,6888,14628,-0.0093,0.4204,0.8928,25.2135,0.5386
2019-01-28 20:51:32.98,29,-434,253,84,-3.313,1.9313,0.6412,-216,6760,14796,-0.0132,0.4126,0.9031,24.5524,0.7607
2019-01-28 20:51:33.09,30,-423,265,75,-3.229,2.0229,0.5725,-204,6664,14816,-0.0125,0.4067,0.9043,24.2154,0.7194
2019-01-28 20:51:33.21,31,-416,255,74,-3.1756,1.9466,0.5649,-220,6716,14840,-0.0134,0.4099,0.9058,24.3473,0.7738
2019-01-28 20:51:33.32,32,-406,259,73,-3.0992,1.9771,0.5573,-128,6744,14752,-0.0078,0.4116,0.9004,24.5671,0.4521
2019-01-28 20:51:33.43,33,-420,272,79,-3.2061,2.0763,0.6031,-232,6704,15080,-0.0142,0.4092,0.9204,23.9656,0.8054
2019-01-28 20:51:33.55,34,-415,6,57,-3.1679,0.0458,0.4351,-156,6732,14684,-0.0095,0.4109,0.8962,24.6283,0.5533
2019-01-28 20:51:33.66,35,-401,267,87,-3.0611,2.0382,0.6641,-220,6612,14776,-0.0134,0.4036,0.9019,24.1053,0.7786
2019-01-28 20:51:33.78,36,-402,272,85,-3.0687,2.0763,0.6489,-204,6748,14956,-0.0125,0.4119,0.9128,24.2824,0.7123
2019-01-28 20:51:33.89,37,-412,257,67,-3.145,1.9618,0.5115,-192,6680,14744,-0.0117,0.4077,0.8999,24.3718,0.6796
2019-01-28 20:51:34.00,38,-418,269,63,-3.1908,2.0534,0.4809,-52,6768,14760,-0.0032,0.4131,0.9009,24.6331,0.1835
2019-01-28 20:51:34.12,39,-388,239,77,-2.9618,1.8244,0.5878,-104,6696,15028,-0.0063,0.4087,0.9172,24.0157,0.3622
2019-01-28 20:51:34.23,40,-418,258,81,-3.1908,1.9695,0.6183,-232,6636,14972,-0.0142,0.405,0.9138,23.9017,0.8116
2019-01-28 20:51:34.35,41,-413,13,78,-3.1527,0.0992,0.5954,-156,6664,14884,-0.0095,0.4067,0.9084,24.1183,0.5481
2019-01-28 20:51:34.46,42,-435,256,62,-3.3206,1.9542,0.4733,-200,6784,14600,-0.0122,0.4141,0.8911,24.9202,0.7117
2019-01-28 20:51:34.58,43,-422,288,84,-3.2214,2.1985,0.6412,-160,6668,14760,-0.0098,0.407,0.9009,24.3104,0.566
2019-01-28 20:51:34.69,44,-415,2,72,-3.1679,0.0153,0.5496,-60,6728,14876,-0.0037,0.4106,0.908,24.3357,0.2106
2019-01-28 20:51:34.81,45,-407,277,98,-3.1069,2.1145,0.7481,-124,6856,14848,-0.0076,0.4185,0.9062,24.7842,0.4344
2019-01-28 20:51:34.92,46,-394,275,58,-3.0076,2.0992,0.4427,-220,6904,14764,-0.0134,0.4214,0.9011,25.0595,0.7733
2019-01-28 20:51:35.03,47,-412,270,62,-3.145,2.0611,0.4733,-232,6728,14720,-0.0142,0.4106,0.8984,24.5608,0.8213
2019-01-28 20:51:35.15,48,-397,508,49,-3.0305,3.8779,0.374,-140,6756,14680,-0.0085,0.4124,0.896,24.7117,0.4964
2019-01-28 20:51:35.26,49,-410,266,95,-3.1298,2.0305,0.7252,-192,6632,14796,-0.0117,0.4048,0.9031,24.1415,0.6784
2019-01-28 20:51:35.37,50,-414,247,79,-3.1603,1.8855,0.6031,-316,6724,14860,-0.0193,0.4104,0.907,24.3414,1.1099
2019-01-28 20:51:35.48,51,-428,253,61,-3.2672,1.9313,0.4656,-12,6744,14624,-0.0007,0.4116,0.8926,24.7572,0.0427
2019-01-28 20:51:35.60,52,-421,259,81,-3.2137,1.9771,0.6183,-216,6748,14776,-0.0132,0.4119,0.9019,24.5432,0.7618
2019-01-28 20:51:35.71,53,-418,0,52,-3.1908,0.0,0.3969,-176,6532,14696,-0.0107,0.3987,0.897,23.9624,0.627
2019-01-28 20:51:35.82,54,-430,252,69,-3.2824,1.9237,0.5267,-336,6832,14764,-0.0205,0.417,0.9011,24.8266,1.1832
2019-01-28 20:51:35.93,55,-420,264,88,-3.2061,2.0153,0.6718,-148,6768,14776,-0.009,0.4131,0.9019,24.6086,0.5217
2019-01-28 20:51:36.05,56,-411,5,71,-3.1374,0.0382,0.542,-44,6800,14948,-0.0027,0.415,0.9124,24.4612,0.1535
2019-01-28 20:51:36.16,57,-419,262,54,-3.1985,2.0,0.4122,-204,6668,14772,-0.0125,0.407,0.9016,24.2921,0.7211
2019-01-28 20:51:36.27,58,-397,252,61,-3.0305,1.9237,0.4656,-224,6752,14820,-0.0137,0.4121,0.9045,24.4916,0.788
